,Unnamed: 0,index,contract_id,ico,dlhy_nedoplatky,pohladavky_statu,employees,competition,money_saved,money_spent,sales,profit,company_age
1131,1581,1581,412591,47465433.0,0,0,1,2,0.0022,91605.0,492756.0,6663,2395.0
1132,1584,1584,412839,31343414.0,0,0,100,3,11.093,6016398.0,13922188.0,240618,9918.0
1133,1585,1585,411119,50608835.0,0,0,1,3,8.1333,288628.0,336173.0,5952,1253.0
1134,1586,1586,415430,47981563.0,0,0,5,2,2.1145,304662.0,8760179.0,820023,1966.0
1135,1588,1588,416448,44285451.0,0,0,5,3,27.3425,33201.0,297849.0,11841,4303.0
1136,1589,1589,413291,44989709.0,0,0,20,3,1.3152,532685.0,10631409.0,992078,3837.0
1137,1591,1591,413287,35955678.0,0,0,250,2,0.2799,800972.0,42189158.0,-10250116,5333.0
1138,1592,1592,415955,31331785.0,0,0,25,1,36.7588,119000.0,5410970.0,87306,10097.0
1139,1594,1594,415646,31731244.0,0,0,50,1,0.14270000000000002,233333.0,9685674.0,308935,8682.0
1140,1595,1595,413625,36831221.0,0,0,100,4,3.935000000000001,29610000.0,40765460.0,4368112,4614.0
1141,1596,1596,415330,36440353.0,0,0,50,3,10.0272,253162.0,3480057.0,36480,5174.0
1142,1597,1597,415058,36307599.0,0,0,25,3,31.982,170543.0,4889338.0,26694,7694.0
1143,1599,1599,415326,46059105.0,0,0,10,3,17.540300000000002,258160.0,2602559.0,87410,3347.0
1144,1600,1600,401091,36168335.0,1,0,150,3,0.0321,1133364.0,13054967.0,-713084,8520.0
1145,1601,1601,407817,36424285.0,0,0,10,4,0.6031,203125.0,387988.0,-222657,5663.0
1146,1602,1602,414510,50393740.0,0,0,2,7,20.4527,142211.0,2098546.0,417429,1393.0
